BouncedAt,UserName,CityName,TimeStamp,DeviceID,Flavor,CheckIn,NumOfPeople,NumofRooms,CheckOut
1,ajohnson@gmail.com,Almedia,2020-05-18 03:22:42,8083876,IOS,2021-05-08,2,2,2021-06-07
1,rangelheather@gmail.com,Alva,2020-05-30 19:54:59,2282610,IOS,2021-06-12,4,2,2021-07-12
0,jacquelineford@nelson-porter.org,Maurice,2021-02-26 17:49:58,5391107,Android,2021-06-15,2,1,2021-07-15
1,alexis06@kelly.com,Selbyville,2020-05-21 17:47:55,6235781,Android,2021-08-10,8,6,2021-09-09
1,lawrencesherman@gmail.com,Wyarno,2020-12-19 07:50:26,4132284,IOS,2021-08-20,6,3,2021-09-19
0,barbaraward@sanders.com,Giles,2021-01-24 15:34:52,2971784,Android,2021-06-11,7,7,2021-07-11
0,hdean@gmail.com,Val Verda,2020-09-06 17:12:19,4454817,IOS,2021-08-26,4,3,2021-09-25
1,stewartjack@yahoo.com,North Catasauqua,2020-12-03 15:35:31,1310163,IOS,2021-07-02,9,9,2021-08-01
1,smithmichelle@gmail.com,Simons,2020-06-06 09:59:14,8346696,IOS,2021-05-24,9,8,2021-06-23
1,michael11@weber-scott.biz,Adelaide,2021-03-07 20:41:55,5877252,Android,2021-07-02,6,3,2021-08-01
1,stephenturner@kennedy.net,Island Falls,2020-07-31 13:58:25,3771379,IOS,2021-08-19,7,5,2021-09-18
1,patrick89@yahoo.com,Speonk,2020-05-16 02:20:18,8917792,IOS,2021-06-09,8,6,2021-07-09
1,oliviahoffman@diaz.info,Fairmount Heights,2021-01-09 05:48:01,4581187,Android,2021-07-02,7,5,2021-08-01
0,ashleythomas@gmail.com,North Myrtle Beach,2020-06-28 07:49:51,3298747,IOS,2021-06-12,6,5,2021-07-12
0,jeremywhitney@hotmail.com,Ellaville,2020-08-06 12:34:11,8731111,Android,2021-08-15,5,5,2021-09-14
1,lisamathis@cervantes.info,Gnadenhutten,2020-06-07 14:05:46,8890061,IOS,2021-07-01,1,1,2021-07-31
1,inichols@webster.com,Port Orchard,2020-12-10 16:45:20,2333334,Android,2021-06-28,9,8,2021-07-28
1,shannonwood@martinez.com,Hasty,2020-11-01 18:20:13,3458202,Android,2021-07-17,8,6,2021-08-16
1,kfuller@carroll-chavez.biz,Noorvik,2021-01-20 14:29:40,3460374,Android,2021-08-09,9,6,2021-09-08
0,nguyenalicia@gmail.com,Greely Center,2021-01-02 01:13:42,6692928,Android,2021-08-08,9,9,2021-09-07
0,joseph25@gmail.com,Fort Gates,2020-07-22 02:48:30,6739453,Android,2021-08-21,7,7,2021-09-20
1,walkerwesley@hotmail.com,Vesta,2020-07-16 20:26:31,6302332,Android,2021-05-13,3,2,2021-06-12
1,yparker@yahoo.com,Copper Canyon,2020-10-13 11:50:06,9918623,Android,2021-05-20,1,1,2021-06-19
0,chungmichael@berg-brown.net,Cut Off,2021-04-27 13:46:09,9335611,IOS,2021-07-06,2,1,2021-08-05
0,obarber@hotmail.com,McGonigle,2021-03-17 13:31:25,2475595,Android,2021-07-03,4,2,2021-08-02
0,dthompson@yahoo.com,Hindsville,2020-06-01 16:13:34,9811153,IOS,2021-05-26,1,1,2021-06-25
0,lwelch@hotmail.com,Rancho Santa Margarita,2021-02-27 04:42:56,8926160,Android,2021-05-10,4,3,2021-06-09
0,luishicks@gmail.com,Key West,2020-12-30 12:41:50,2777977,Android,2021-08-14,1,1,2021-09-13
0,hicksjonathan@park-nunez.com,Cape Saint Claire,2021-01-01 21:14:38,3798274,Android,2021-08-02,3,3,2021-09-01
1,davisjames@gmail.com,Udall,2020-10-27 11:48:58,3872116,Android,2021-06-29,3,3,2021-07-29
0,christinarowe@thompson-smith.com,Miami Lakes,2021-02-19 10:50:54,9060499,IOS,2021-07-28,1,1,2021-08-27
1,hunterdawn@hotmail.com,Cut Off,2020-05-22 14:44:25,4541929,IOS,2021-08-22,5,5,2021-09-21
1,clynch@smith.com,Amber,2020-08-28 15:59:16,7279486,IOS,2021-05-17,4,2,2021-06-16
0,christopher26@gmail.com,Miami Lakes,2021-02-13 23:48:15,9758583,IOS,2021-08-02,4,2,2021-09-01
0,thomasshannon@gmail.com,Big Horn,2020-11-16 06:35:40,7505541,Android,2021-05-22,8,4,2021-06-21
1,brenda30@hotmail.com,Fairwood,2021-01-10 06:02:04,4011602,Android,2021-08-13,2,2,2021-09-12
1,kimberly58@meyer.info,Gauley Bridge,2020-06-28 02:10:25,4537423,Android,2021-08-16,1,1,2021-09-15
1,rachel60@hotmail.com,Kennebec,2020-05-19 05:40:15,7866823,Android,2021-05-08,5,5,2021-06-07
1,mejiashane@stewart-crosby.org,Wabeno,2020-11-21 07:34:33,9477081,IOS,2021-08-26,3,3,2021-09-25
1,bryanterin@gmail.com,Pilot Knob,2021-02-14 13:50:58,7470507,IOS,2021-06-16,9,7,2021-07-16
1,leejoseph@gmail.com,Lillie,2020-12-09 10:39:39,8326518,IOS,2021-06-22,7,7,2021-07-22
1,lauraphillips@gmail.com,Wesson,2021-03-09 01:24:22,2679441,Android,2021-07-25,9,5,2021-08-24
0,travisbrian@gmail.com,Corral City,2021-04-11 04:48:10,4469495,Android,2021-07-14,2,2,2021-08-13
1,tyler60@morse.com,Friona,2021-04-10 02:24:44,7333728,Android,2021-08-22,8,7,2021-09-21
1,micheledelgado@hotmail.com,Canisteo,2020-12-06 01:16:51,1817470,Android,2021-06-14,3,2,2021-07-14
1,murphypatricia@keith.com,Sanctuary,2020-11-24 08:22:16,7869105,Android,2021-05-26,8,5,2021-06-25
0,nhamilton@hogan-zhang.com,McCallum,2020-06-16 14:53:03,4599101,Android,2021-07-24,4,4,2021-08-23
1,richardscott@yahoo.com,Gilliatt,2020-05-09 02:22:48,1553894,Android,2021-07-04,4,2,2021-08-03
1,matthewhunter@hart-farrell.org,Prince,2020-10-15 15:16:31,3076401,IOS,2021-06-22,1,1,2021-07-22
0,hillstephanie@hotmail.com,Edgerton,2020-10-24 07:52:22,6428630,Android,2021-06-17,3,2,2021-07-17
0,karenknight@hotmail.com,Bethel Park,2020-06-26 10:04:13,2553824,IOS,2021-06-07,9,9,2021-07-07
0,nathan11@johnson.com,Bannertown,2020-08-04 19:24:40,4449425,IOS,2021-07-10,7,5,2021-08-09
0,xpratt@yahoo.com,Rosenhayn,2020-12-07 10:06:34,9059712,Android,2021-06-04,8,5,2021-07-04
1,pattersonjeremiah@gonzalez.com,Kaneohe,2020-07-04 06:58:34,6823744,Android,2021-05-10,3,3,2021-06-09
1,jeffreyirwin@gmail.com,Sholes,2021-02-24 00:22:19,5162191,Android,2021-08-04,9,9,2021-09-03
1,travis96@hotmail.com,Reader,2020-11-07 02:53:16,7057763,Android,2021-06-27,4,4,2021-07-27
0,racheltaylor@bullock.net,Christy Manor,2020-07-07 20:07:17,9095789,IOS,2021-05-05,4,2,2021-06-04
0,rodriguezshawna@yahoo.com,Benoit,2020-06-11 14:49:25,9714379,Android,2021-05-13,5,5,2021-06-12
1,wendy94@jones-houston.net,Jackstown,2020-09-13 23:41:56,1057932,IOS,2021-07-30,6,6,2021-08-29
1,elizabeth04@gmail.com,Spring Church,2020-09-26 22:28:57,9243345,IOS,2021-07-15,9,8,2021-08-14
0,lynn97@gmail.com,Mono Vista,2020-12-01 00:56:41,5700107,Android,2021-08-09,1,1,2021-09-08
0,michael59@yahoo.com,Gates Mills,2020-11-18 04:03:35,2364411,IOS,2021-07-03,1,1,2021-08-02
0,joseph41@rice.com,Malesus,2020-07-31 10:55:53,5337148,Android,2021-08-21,1,1,2021-09-20
1,jbird@king.biz,Homeland Park,2020-09-24 04:55:27,7295738,Android,2021-06-06,7,4,2021-07-06
0,cortezjoshua@yahoo.com,Gloucester Courthouse,2020-09-18 08:03:54,8510643,Android,2021-05-27,7,7,2021-06-26
0,amartin@mckinney-rogers.com,Rendville,2021-04-18 15:21:14,4672352,Android,2021-07-09,1,1,2021-08-08
1,petersenaustin@olson-garza.com,Gahanna,2020-06-08 15:40:53,6976560,IOS,2021-07-19,8,8,2021-08-18
0,yfrank@palmer-hart.com,North Hornell,2021-03-20 14:14:35,4199377,IOS,2021-08-10,8,5,2021-09-09
1,lisasmith@hotmail.com,Auberry,2020-09-21 08:52:51,4328937,Android,2021-08-13,5,3,2021-09-12
0,moralesnatalie@ruiz-ross.com,Rippon,2020-10-06 11:58:08,9103772,Android,2021-07-08,6,6,2021-08-07
0,silvakatie@case.biz,Cason,2020-06-18 21:52:13,5976782,IOS,2021-05-17,7,5,2021-06-16
0,shawn93@gmail.com,Palmer Park,2020-09-11 07:42:36,8651607,Android,2021-06-21,6,3,2021-07-21
1,cgibson@hester-williams.org,Haena,2020-09-11 13:31:42,1069799,Android,2021-07-21,4,4,2021-08-20
1,barbara04@yahoo.com,Ithaca,2020-09-03 14:58:42,1504522,IOS,2021-07-29,7,7,2021-08-28
0,lowedaniel@frank-george.com,Mountainair,2020-09-27 05:00:59,1498187,IOS,2021-05-04,9,6,2021-06-03
0,davidreynolds@davidson.com,Millersport,2020-08-04 12:01:16,6802114,IOS,2021-06-05,9,9,2021-07-05
0,cwilson@nielsen.com,Thaxton,2020-11-04 19:42:07,3088705,IOS,2021-08-05,1,1,2021-09-04
0,cookhunter@hogan-wilson.com,Bajadero,2020-12-26 20:49:30,8211953,Android,2021-08-23,3,2,2021-09-22
0,montgomeryanne@woods.com,Otranto,2021-02-16 00:05:13,5396518,Android,2021-06-04,2,2,2021-07-04
0,james81@gmail.com,North College Hill,2020-08-07 07:33:19,3949342,IOS,2021-08-05,5,4,2021-09-04
1,williamschristopher@gmail.com,North Bellingham,2020-10-20 21:22:21,8422601,Android,2021-05-26,8,4,2021-06-25
0,lopezelizabeth@hoffman.com,Hinckley,2020-12-29 18:06:37,2960172,Android,2021-06-05,8,8,2021-07-05
1,pandersen@hotmail.com,Gages Lake,2020-12-18 20:22:29,7125789,IOS,2021-08-26,2,2,2021-09-25
0,ymoore@white.net,Harrells,2020-06-14 16:28:53,6670619,Android,2021-08-29,6,5,2021-09-28
1,stephaniespencer@morgan-owens.com,Cullman,2020-08-09 12:07:30,8821256,IOS,2021-08-11,3,3,2021-09-10
0,qgray@yahoo.com,Sherrodsville,2021-04-03 07:22:59,1704799,Android,2021-06-02,8,4,2021-07-02
1,traciebell@gmail.com,Houlton,2021-03-26 06:12:31,7956061,Android,2021-05-07,4,3,2021-06-06
0,jonathandelgado@yahoo.com,Fruit Cove,2021-04-01 21:36:43,6237705,Android,2021-06-01,3,2,2021-07-01
1,vperez@williams-gomez.com,Four Town,2020-12-20 13:18:40,6301761,Android,2021-08-07,6,5,2021-09-06
0,cynthiaparker@yahoo.com,Centerton,2020-09-26 00:17:00,3820679,Android,2021-08-26,5,4,2021-09-25
0,wileyjohn@yahoo.com,Rondout,2020-08-06 20:11:04,5402489,IOS,2021-05-19,6,4,2021-06-18
1,jonesgina@stokes.com,Millersport,2021-02-25 06:06:24,8932036,IOS,2021-05-06,4,2,2021-06-05
0,zimmermanmary@hotmail.com,Frenchton,2021-03-10 18:34:14,4935036,Android,2021-06-09,3,3,2021-07-09
1,elizabeth01@yahoo.com,Favoretta,2020-06-23 22:21:14,2439462,Android,2021-05-17,8,7,2021-06-16
0,mooreronald@hotmail.com,Willey,2020-06-03 06:27:00,2034250,Android,2021-07-05,6,5,2021-08-04
1,teresaprice@greene-miller.com,Kihei,2021-03-01 19:46:12,3392616,Android,2021-06-29,3,2,2021-07-29
0,vcook@hotmail.com,Drexel Hill,2021-03-22 15:10:00,9561023,IOS,2021-08-10,5,4,2021-09-09
1,michael13@gordon.info,Gays Mills,2020-06-30 23:09:08,1116637,Android,2021-07-27,1,1,2021-08-26
0,laura02@gmail.com,Finlayson,2020-09-28 02:51:58,8649859,IOS,2021-06-10,8,6,2021-07-10
0,butlermichael@gmail.com,Anthonyville,2021-03-03 07:00:32,3665505,IOS,2021-06-20,2,1,2021-07-20
0,katie04@yahoo.com,Leshara,2020-11-16 22:50:05,3967100,Android,2021-06-19,2,2,2021-07-19
0,nicholas73@yahoo.com,Haines,2021-04-14 21:09:34,8003276,Android,2021-05-26,3,3,2021-06-25
1,brandonsimmons@gmail.com,Gildford,2021-01-29 19:06:06,6143598,Android,2021-08-26,4,3,2021-09-25
0,glenkramer@thompson.net,Spring House,2020-12-22 19:07:42,3950694,Android,2021-06-14,6,3,2021-07-14
0,catherinehoward@kemp.net,Wellsboro,2020-06-19 11:38:26,3946882,IOS,2021-07-18,3,3,2021-08-17
1,ashleycox@adams.com,Mount Ida,2021-02-17 18:45:46,9114224,Android,2021-08-12,1,1,2021-09-11
0,tracy23@yahoo.com,Villard,2020-08-20 12:32:07,5249950,Android,2021-07-11,4,3,2021-08-10
1,millssamuel@hotmail.com,Stone Park,2021-02-09 02:52:42,1044210,Android,2021-05-12,7,5,2021-06-11
1,simmonsdeborah@hotmail.com,Coulee,2021-03-16 20:58:16,1803563,Android,2021-07-03,5,3,2021-08-02
0,jamesbishop@gmail.com,Wheatfield,2020-06-04 12:18:48,4187299,Android,2021-08-13,7,5,2021-09-12
1,christopher94@keller-baird.com,Saratoga,2020-08-22 20:41:25,7258633,Android,2021-07-01,3,2,2021-07-31
0,nicolebecker@yahoo.com,Mabank,2021-02-26 02:50:23,4462498,IOS,2021-07-25,4,2,2021-08-24
0,alexandermcgee@hotmail.com,South Wadesboro,2020-10-03 22:41:31,2640211,Android,2021-08-19,4,2,2021-09-18
0,mbutler@hotmail.com,Isle of Palms,2020-05-14 15:56:27,1089155,Android,2021-05-17,8,4,2021-06-16
1,dbrady@morales.com,West Hartford,2020-06-08 09:00:37,1580023,Android,2021-06-10,4,3,2021-07-10
0,amyjohnson@hood-dillon.com,Yorkana,2020-10-08 12:41:44,6465875,Android,2021-06-26,5,5,2021-07-26
0,brad32@anderson.org,Friars Point,2020-06-10 02:00:48,7254629,IOS,2021-08-15,1,1,2021-09-14
1,jstephens@gmail.com,Graymoor-Devondale,2020-08-11 01:29:24,5004257,Android,2021-07-17,9,9,2021-08-16
1,csimmons@yahoo.com,Willow Run,2020-10-18 03:25:03,8798341,IOS,2021-07-16,4,4,2021-08-15
0,zmccarthy@hotmail.com,Desert View Highlands,2020-11-07 15:57:09,3009828,Android,2021-07-18,8,5,2021-08-17
1,curtisscott@hotmail.com,Crossett,2020-11-17 23:33:10,4922032,IOS,2021-05-28,5,5,2021-06-27
0,parkerdaniel@bender.org,Hisle,2020-07-02 16:14:16,6909962,IOS,2021-08-03,1,1,2021-09-02
1,mark57@yahoo.com,Schulte,2020-12-06 17:43:14,7853674,IOS,2021-05-03,8,8,2021-06-02
1,saundersjoshua@wood.com,Arnett,2021-04-15 09:22:43,5420814,IOS,2021-06-10,8,6,2021-07-10
0,williamsdavid@hotmail.com,Lawrenceburg,2020-07-05 05:14:43,9982254,Android,2021-07-15,1,1,2021-08-14
0,sarahgreene@yahoo.com,Poston,2020-08-01 12:39:43,6327580,Android,2021-06-21,5,5,2021-07-21
0,steven28@davis.com,Tunis Mills,2021-05-01 20:27:06,7526256,IOS,2021-05-06,3,3,2021-06-05
1,sbray@gmail.com,Joppa,2021-02-04 10:58:34,5837511,Android,2021-08-11,9,7,2021-09-10
0,staffordroberto@sparks-moody.com,Brice,2021-04-09 07:52:03,9099807,IOS,2021-06-10,1,1,2021-07-10
1,davidtapia@yahoo.com,Meadow Vista,2020-10-11 16:03:50,1716972,IOS,2021-07-17,2,2,2021-08-16
1,marshallvirginia@gmail.com,Lone Wolf,2021-01-05 15:27:08,1591873,IOS,2021-07-19,9,6,2021-08-18
0,anthonysherman@gmail.com,Mount Blanchard,2021-04-14 11:31:04,4177011,IOS,2021-05-06,3,3,2021-06-05
0,bryantemily@hotmail.com,Berrydale,2020-09-04 04:37:11,9419825,IOS,2021-06-02,5,3,2021-07-02
1,xhebert@yahoo.com,Oklahoma,2020-10-19 09:25:02,3508732,IOS,2021-07-24,5,4,2021-08-23
0,rmartinez@morris.com,Charenton,2020-10-28 06:20:56,5426780,Android,2021-07-21,1,1,2021-08-20
1,emily75@gmail.com,Biddle,2020-07-07 18:25:40,5672026,Android,2021-06-12,6,3,2021-07-12
0,ssmith@hotmail.com,Monroe City,2020-12-07 20:38:17,1410438,IOS,2021-08-04,6,6,2021-09-03
0,aschaefer@rodriguez-irwin.info,Pennington,2020-09-13 09:18:57,7039708,Android,2021-06-29,8,7,2021-07-29
1,johnchandler@gardner.net,Gagen,2020-10-11 00:54:49,7218212,IOS,2021-06-25,9,9,2021-07-25
0,suelewis@perez-ortega.info,Urbank,2020-11-08 15:53:24,5310752,IOS,2021-07-03,9,9,2021-08-02
1,joe03@hotmail.com,Reisterstown,2021-01-03 08:24:08,7437926,Android,2021-06-30,9,8,2021-07-30
1,osmith@hotmail.com,Fife,2020-06-03 07:50:23,6170495,IOS,2021-08-08,3,3,2021-09-07
1,brenda21@moyer.net,North Myrtle Beach,2020-12-10 21:58:35,3008092,Android,2021-07-10,9,7,2021-08-09
1,david20@lynch-cross.info,Jenkintown,2021-04-27 15:35:16,4286350,IOS,2021-06-24,2,1,2021-07-24
1,russellmary@yahoo.com,Snow Shoe,2020-06-25 13:56:15,9362318,IOS,2021-05-28,5,4,2021-06-27
1,karenjohnson@yahoo.com,Liberty Park,2021-03-05 04:46:49,8099884,Android,2021-08-15,9,7,2021-09-14
0,kimlawrence@yahoo.com,Galbraith,2021-01-16 18:09:09,4041277,Android,2021-08-19,7,6,2021-09-18
1,coopertina@smith.org,Winterset,2020-09-26 10:45:02,3939629,IOS,2021-06-12,3,3,2021-07-12
0,mercedeswinters@yahoo.com,Alcolu,2021-03-21 22:55:05,6341988,Android,2021-07-20,2,1,2021-08-19
1,umora@hotmail.com,Dutch Mills,2020-10-21 18:56:25,2710064,Android,2021-08-03,2,1,2021-09-02
0,rachaelmatthews@howe.com,West Lake Hills,2021-02-21 08:39:41,3616291,Android,2021-06-19,2,1,2021-07-19
0,james73@moore.com,Mabank,2021-02-17 03:05:58,3165574,IOS,2021-07-28,8,7,2021-08-27
0,stevensjose@gmail.com,Larsmont,2020-09-25 18:03:12,7748976,IOS,2021-08-28,9,5,2021-09-27
0,mquinn@johnson-cohen.com,Lake Barcroft,2021-02-11 16:43:06,5507346,Android,2021-05-21,4,2,2021-06-20
0,richardgutierrez@cook.com,Henly,2020-09-19 23:28:18,7701978,IOS,2021-08-09,3,2,2021-09-08
0,craig47@yahoo.com,Lushton,2020-06-24 12:42:31,9051446,Android,2021-07-15,9,6,2021-08-14
1,john64@hotmail.com,Lake Monroe,2020-08-31 16:56:15,6857995,IOS,2021-05-24,5,3,2021-06-23
1,mark78@key.org,Sorrento,2020-10-13 03:09:55,4038984,IOS,2021-05-21,8,6,2021-06-20
1,hmoody@yahoo.com,North Grosvenor Dale,2021-01-28 01:58:05,7194288,Android,2021-07-27,1,1,2021-08-26
0,zberry@yahoo.com,Auroraville,2021-03-24 07:01:35,7504000,Android,2021-05-15,2,1,2021-06-14
0,gonzalezjeanette@gmail.com,McPherson,2020-08-26 12:18:49,3694635,Android,2021-06-19,7,5,2021-07-19
1,alisonpadilla@yahoo.com,Orme,2020-10-07 14:51:05,1106633,IOS,2021-06-03,7,6,2021-07-03
0,zgreen@sanchez.net,Hiram,2020-05-28 18:39:28,9314614,IOS,2021-05-13,4,2,2021-06-12
0,rossdavid@massey.com,Augusta,2020-08-11 09:57:49,1195802,Android,2021-07-09,5,5,2021-08-08
1,lsanders@marshall.com,Wax,2020-09-06 05:41:27,5644220,Android,2021-05-19,8,8,2021-06-18
1,iramos@kramer.com,McKenney,2020-06-29 03:27:46,7077744,Android,2021-06-15,7,5,2021-07-15
1,jamesburns@hotmail.com,Gagen,2020-11-12 08:10:51,7381926,IOS,2021-06-02,1,1,2021-07-02
1,kellyfigueroa@lowe.com,Magasco,2020-09-30 05:00:15,2022734,IOS,2021-05-02,3,2,2021-06-01
1,sobrien@brown-lewis.org,Still Pond,2020-06-25 23:06:52,2567790,Android,2021-06-05,9,5,2021-07-05
0,cynthia37@gmail.com,Mantador,2021-04-27 02:56:05,1379130,Android,2021-07-20,5,3,2021-08-19
